entrez_id,symbol,logFC,logCPM,LR,p_value,FDR
134957,STXBP5,-2.51544853,5.357162207,35.03445051,3.24E-09,1.41E-06
9912,ARHGAP44,-4.183490049,5.249356282,34.99480504,3.31E-09,1.41E-06
58155,PTBP2,-1.822528716,6.370689055,34.95010151,3.38E-09,1.41E-06
152926,PPM1K,-1.835335775,5.954094213,34.7987381,3.66E-09,1.48E-06
114876,OSBPL1A,-2.104854912,8.10763507,34.51382367,4.23E-09,1.63E-06
5924,RASGRF2,-3.585998744,4.59612739,34.48926044,4.29E-09,1.63E-06
84940,CORO6,-4.201714843,3.503839165,34.36801764,4.56E-09,1.68E-06
5567,PRKACB,-2.10126481,7.573245971,34.05989852,5.34E-09,1.85E-06
1006,CDH8,-5.12026973,3.383476007,34.05712073,5.35E-09,1.85E-06
148808,MFSD4A,-4.163157631,5.112345174,34.02659555,5.44E-09,1.85E-06
10631,POSTN,4.359140383,6.385372719,33.89892132,5.81E-09,1.92E-06
5602,MAPK10,-2.326576306,8.091562826,33.69130213,6.46E-09,2.09E-06
9829,DNAJC6,-3.211253176,6.370566025,33.61426613,6.72E-09,2.10E-06
6326,SCN2A,-4.366310546,4.408397966,33.58699864,6.81E-09,2.10E-06
121601,ANO4,-4.420120295,5.323904465,33.40234457,7.49E-09,2.25E-06
